othe_000000066;size=93345;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Salmoniformes(1.00),f:Salmonidae(1.00),g:Salmo(1.00),s:Salmo_salar(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Salmoniformes,f:Salmonidae,g:Salmo,s:Salmo_salar
othe_000000094;size=6240;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Carangidae(1.00),g:Trachurus(1.00),s:Trachurus_trachurus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Carangidae,g:Trachurus,s:Trachurus_trachurus
othe_000000116;size=545;				
othe_000002770;size=951;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Scorpaeniformes(1.00),f:Sebastidae(1.00),g:Sebastes(0.68),s:Sebastes_norvegicus(0.68)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Scorpaeniformes,f:Sebastidae
othe_000000301;size=561;				
othe_000002414;size=787;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.96),f:Cichlidae(0.35),g:Coptodon(0.13),s:Coptodon_zillii(0.13)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000006932;size=763;				
othe_000000296;size=4048;				
othe_000001967;size=2691;				
othe_000006254;size=385;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.73),f:Cichlidae(0.58),g:Coptodon(0.51),s:Coptodon_zillii(0.51)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000000585;size=2951;				
othe_000000736;size=1482;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.60),f:Howellidae(0.07),g:Howella(0.07),s:Howella_brodiei(0.07)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000000074;size=2599;				
othe_000000949;size=7397;				
othe_000000027;size=6074;				
othe_000002018;size=747;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.63),f:Centrarchidae(0.07),g:Ambloplites(0.07),s:Ambloplites_rupestris(0.07)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000000123;size=6704;				
othe_000001265;size=1828;				
othe_000000001;size=4765;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Clupeiformes(1.00),f:Clupeidae(1.00),g:Alosa(0.91),s:Alosa_alosa(0.91)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Clupeiformes,f:Clupeidae,g:Alosa,s:Alosa_alosa
othe_000000639;size=373;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Ammodytidae(1.00),g:Ammodytes(1.00),s:Ammodytes_marinus(0.98)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Ammodytidae,g:Ammodytes,s:Ammodytes_marinus
othe_000001393;size=2483;				
othe_000000100;size=3395;				
othe_000005445;size=373;				
othe_000000379;size=6809;				
othe_000000118;size=2605;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Gadidae(1.00),g:Trisopterus(1.00),s:Trisopterus_esmarkii(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Gadidae,g:Trisopterus,s:Trisopterus_esmarkii
othe_000007294;size=437;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Siluriformes(1.00),f:Ictaluridae(0.92),g:Ictalurus(0.69),s:Ictalurus_punctatus(0.69)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Siluriformes,f:Ictaluridae
othe_000004046;size=701;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Pholidae(1.00),g:Pholis(1.00),s:Pholis_gunnellus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Pholidae,g:Pholis,s:Pholis_gunnellus
othe_000000542;size=8837;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(1.00),f:Carangidae(1.00),g:Trachurus(1.00),s:Trachurus_trachurus(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes,f:Carangidae,g:Trachurus,s:Trachurus_trachurus
othe_000000247;size=4942;				
othe_000002265;size=334;				
othe_000000083;size=1543;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Beloniformes(0.56),f:Scomberesocidae(0.41),g:Scomberesox(0.41),s:Scomberesox_saurus(0.41)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000019192;size=360;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.46),f:Ammodytidae(0.41),g:Gymnammodytes(0.33),s:Gymnammodytes_semisquamatus(0.33)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000002752;size=1232;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.98),f:Polyprionidae(0.47),g:Polyprion(0.47),s:Polyprion_americanus(0.47)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000001831;size=3630;				
othe_000012864;size=349;				
othe_000007753;size=584;	k:Animalia(1.00),p:Chordata(1.00),c:Elasmobranchii(1.00),o:Carcharhiniformes(1.00),f:Carcharhinidae(0.99),g:Prionace(0.99),s:Prionace_glauca(0.99)	+	k:Animalia,p:Chordata,c:Elasmobranchii,o:Carcharhiniformes,f:Carcharhinidae,g:Prionace,s:Prionace_glauca
othe_000000508;size=295;				
othe_000002223;size=2231;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.63),f:Polyprionidae(0.09),g:Polyprion(0.09),s:Polyprion_americanus(0.09)	+	k:Animalia,p:Chordata,c:Actinopterygii
othe_000000194;size=2243;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Gadidae(1.00),g:Pollachius(1.00),s:Pollachius_virens(0.80)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Gadidae,g:Pollachius,s:Pollachius_virens
othe_000000835;size=2426;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.90),f:Polyprionidae(0.20),g:Polyprion(0.20),s:Polyprion_americanus(0.20)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000001280;size=733;				
othe_000000348;size=3192;				
othe_000000180;size=831;				
othe_000000587;size=1560;				
othe_000000795;size=1274;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.81),f:Ammodytidae(0.59),g:Ammodytes(0.59),s:Ammodytes_americanus(0.33)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
othe_000002800;size=1287;				
othe_000002935;size=289;	k:Animalia(1.00),p:Chordata(1.00),c:Elasmobranchii(1.00),o:Myliobatiformes(1.00),f:Dasyatidae(1.00),g:Pteroplatytrygon(0.98),s:Pteroplatytrygon_violacea(0.98)	+	k:Animalia,p:Chordata,c:Elasmobranchii,o:Myliobatiformes,f:Dasyatidae,g:Pteroplatytrygon,s:Pteroplatytrygon_violacea
