dmt2_000000013;size=149219;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Anguilliformes(1.00),f:Muraenidae(1.00),g:Muraena(1.00),s:Muraena_helena(1.00)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Anguilliformes,f:Muraenidae,g:Muraena,s:Muraena_helena
dmt2_000000624;size=1482;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.91),f:Luvaridae(0.61),g:Luvarus(0.61),s:Luvarus_imperialis(0.61)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000002093;size=3304;				
dmt2_000001147;size=1473;				
dmt2_000000910;size=4974;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.55),f:Howellidae(0.05),g:Howella(0.05),s:Howella_brodiei(0.05)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000001282;size=1271;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Pleuronectiformes(0.46),f:Pleuronectidae(0.46),g:Glyptocephalus(0.38),s:Glyptocephalus_cynoglossus(0.38)	+	k:Animalia,p:Chordata,c:Actinopterygii
dmt2_000001634;size=1983;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Pleuronectiformes(0.99),f:Pleuronectidae(0.99),g:Platichthys(0.89),s:Platichthys_flesus(0.89)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes,f:Pleuronectidae,g:Platichthys,s:Platichthys_flesus
dmt2_000000059;size=2337;				
dmt2_000000777;size=1988;				
dmt2_000000160;size=6106;				
dmt2_000001917;size=1109;				
dmt2_000000198;size=8688;				
dmt2_000001099;size=3399;				
dmt2_000001345;size=4577;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Tetraodontiformes(0.98),f:Tetraodontidae(0.98),g:Sphoeroides(0.98),s:Sphoeroides_pachygaster(0.98)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Tetraodontiformes,f:Tetraodontidae,g:Sphoeroides,s:Sphoeroides_pachygaster
dmt2_000000506;size=1992;				
dmt2_000000224;size=2858;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Perciformes(0.73),f:Centrarchidae(0.27),g:Lepomis(0.10),s:Lepomis_gibbosus(0.10)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Perciformes
dmt2_000001641;size=1804;				
dmt2_000000679;size=1751;	k:Animalia(1.00),p:Chordata(1.00),c:Actinopterygii(1.00),o:Gadiformes(1.00),f:Gadidae(1.00),g:Melanogrammus(0.62),s:Melanogrammus_aeglefinus(0.62)	+	k:Animalia,p:Chordata,c:Actinopterygii,o:Gadiformes,f:Gadidae
